일자,브랜드,유형,제목,언론사,링크,요약
2026-06-24,스타벅스,기타 이슈,박봉 헐어 노인정에 떡·과일·봉사… 아들·딸도 ‘고사리손’ 보태[자...,munhwa.com,https://www.munhwa.com/article/11597739?ref=naver,QR코드 : 라이프면 QR코드를 찍으면 문화일보 카카오톡 창으로 자동 연결 △ 전화 : 02-3701-5261 ▨ 사연 채택 시 사은품 드립니다. 채택된 사연에 대해서는 소정의 사은품(스타벅스 기프티콘)을 휴대전화로 전송해 드립니다.
2026-06-24,스타벅스,혜택/프로모션/이벤트,"OK웨딩, ‘2026 구미웨딩박람회’ 7월 4~5일 개최...예비부부 맞춤 웨딩...",beyondpost.co.kr,http://www.beyondpost.co.kr/view.php?ud=2026061915455253249aeda69934_30,"이와 함께 사전 참가 신청 고객을 대상으로 백화점 상품권, 스타벅스 기프티콘, 웨딩다이어리, 청첩장 할인, 신부 마사지 체험권 등 다양한 이벤트도 진행될 예정이다. OK웨딩 관계자는 “결혼 준비 과정은 정보가 많고..."
2026-06-24,스타벅스,기타 이슈,"[애널픽] 이마트, 스벅·쓱닷컴·G마켓·건설 등 계열사 '발목'",theviewers.co.kr,https://theviewers.co.kr/View.aspx?No=4123432,"뷰어스 홍승훈 기­자 hooni7424@naver.com 이마트가 홈플러스 철수에 따른 반사이익은 있겠지만 스타벅스 등... 반면 스타벅스와 쓱닷컴, G마켓, 건설 등 계열사들의 실적 불확실성은 높아졌다는 분석이다. 스타벅스는..."
2026-06-24,스타벅스,신제품 출시,"스타벅스, 한달만에 신제품…‘여름 프리퀀시’는 보류",biz.heraldcorp.com,https://biz.heraldcorp.com/article/10785965?ref=naver,스타벅스코리아가 지난달 ‘탱크데이’ 논란으로 잠정 보류했던 여름 신제품을 출시했다. 24일 업계에 따르면 전날 스타벅스가 출시한 신규 음료는 파인애플블루코코프라푸치노·라이트유자레몬블렌디드...
2026-06-24,스타벅스,기타 이슈,"하나증권 ""이마트, 본업 양호하지만 온라인 사업 걸림돌""",businessplus.kr,https://www.businessplus.kr/news/articleView.html?idxno=113237,"다만 스타벅스와 SSG닷컴, G마켓, 신세계건설 등은 실적 불확실성 요인으로 지목됐다. 스타벅스는 가습기 리콜 문제와 지난달 마케팅 논란에 따른 매출 저하로 실적 변동성이 커진 상태다. 하나증권은 2분기 가습기..."
2026-06-24,스타벅스,기타 이슈,"하나증권 ""이마트, 홈플러스 철수 반사이익...스타벅스·쓱닷컷 등 자회...",etoday.co.kr,https://www.etoday.co.kr/news/view/2596562,"이투데이=신혜주 기자 | 하나증권이 이마트가 본업에서 실적 개선세를 보이나, 스타벅스와 쓱닷컴 등... 박 연구원은 ""스타벅스는 가습기 리콜 비용과 마케팅 논란으로 실적 변동성이 커졌고, 쓱닷컴은 배송 문제에 따른..."
2026-06-24,스타벅스,기타 이슈,"[더벨][이마트 계열 재무점검] 살아난 본업, 멈춰선 디레버리징",thebell.co.kr,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202606181634145440101252,SSG닷컴 완전자회사화와 신세계건설 지원에 이어 스타벅스코리아(SCK컴퍼니) 수익성 둔화 가능성까지... 여기에 SCK컴퍼니(스타벅스코리아)의 변수도 겹친다. 탱크데이 사태에 따른 2분기 실적 악화가 불가피한...
2026-06-24,스타벅스,기타 이슈,"하나증권 ""이마트, 홈플러스 반사이익은 좋은데…SSG닷컴은 부담""",financialpost.co.kr,https://www.financialpost.co.kr/news/articleView.html?idxno=263708,"박 연구원은 ""스타벅스는 가습기 리콜 문제와 5월 마케팅 논란에 따른 매출 저하로 실적 불확실성이 큰 상태""라며 ""6월은 전년도 프리퀀시 행사 영향 베이스가 높아 매출 감소에 따른 감익 폭이 작지 않을 듯""이라고..."
2026-06-24,스타벅스,기타 이슈,"[키-리포트] 하나 ""이마트, 홈플러스 철수 반사이익""",newsdream.kr,http://www.newsdream.kr/news/articleView.html?idxno=113487,"다만 박종대 연구원은 스타벅스, 쓱닷컴, G마켓, 건설 부문의 실적은 불확실성이 크다고 판단했다. 특히 스타벅스의 경우 가습기 리콜 문제, 마케팅 논란이 영향을 끼쳤으며 쓱닷컴은 매출 부진이 고정비 부담으로..."
2026-06-24,스타벅스,기타 이슈,"이마트, 홈플러스 반사이익 본격화…온라인 사업은 부담-하나",edaily.co.kr,https://www.edaily.co.kr/news/newspath.asp?newsid=02532166645485000,박 연구원은 “스타벅스는 가습기 리콜 문제와 5월 마케팅 논란에 따른 매출 저하로 실적 불확실성이 큰... 박 연구원은 “이마트 본사 이익 증가폭이 클 것으로 예상된다”면서도 “스타벅스와 쓱닷컴의 부진이 실적...
2026-06-24,스타벅스,기타 이슈,"[투데이 라인업] 이만희 신천지 총회장 구속 심사 / 종합특검, 심우정 전...",mbn.co.kr,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5201558,지난달 '탱크데이' 논란을 빚은 스타벅스 코리아의 모기업 신세계그룹의 정용진 회장이 오늘 계열사 대표들과 함께 역사 인식과 사회적 감수성 교육을 받습니다. 앞서 스타벅스 코리아 본사 직원과 매장 직원들도 교육을...
2026-06-24,스타벅스,기타 이슈,"[K-FOOD 성장기] 다이닝브랜즈그룹, 10개국 깃발 꽂은 bhc…현지 안착 '승...",fetv.co.kr,https://www.fetv.co.kr/news/articleView.html?idxno=304860,"송 대표는 나이키코리아, 로레알코리아, 언더아머코리아 등을 거쳐 스타벅스코리아 대표이사를 역임했다. 다양한 글로벌 브랜드의 국내 사업을 이끌어온 경험을 바탕으로 글로벌 사업 확대를 주도하고 있다는..."
