일자,브랜드,유형,제목,언론사,링크,요약
2026-07-03,스타벅스,기타 이슈,"[현장] 응원 화환 한 개만 남은 배재고… ""애들 잘못했지만 징계 과해""",newscj.com,https://www.newscj.com/news/articleView.html?idxno=3414339,"'스타벅스 구호' 논란으로 홍역을 치르고 있는 배재고 정문 앞에는 응원 화환 한 개가 덩그러니 놓여 있었다.... 가야지 스타벅스 가야지""라고 외쳐 논란을 빚었다. 스타벅스코리아의 이른바 '탱크데이' 논란을 연상시켜..."
2026-07-03,스타벅스,기타 이슈,"""아무도 광주 얘기 하지마""…허지웅, 배재고 '5.18 조롱 논란' 속 소신 ...",tvreport.co.kr,https://www.tvreport.co.kr/entertainment/article/1058741/,"지난달 29일 서울 목동구장에서 열린 제81회 청룡기 전국고교아구선수권대회에서 서울 강동구 소재 배재고등학교 야구부 학생들이 광주제일고등학교를 향해 ""가야지, 가야지, 스타벅스 가야지""라는 구호를 외쳐 논란을..."
2026-07-03,스타벅스,기타 이슈,"배재고, 6일 광주일고 찾아 사과…5·18 민주묘지 참배도",sedaily.com,https://www.sedaily.com/article/20063665?ref=naver,"야구 경기 도중 ‘스타벅스 가야지’라는 응원 구호를 외쳐 사회적 물의를 빚은 서울 배재고 야구부... 가야지, 스타벅스 가야지”라는 구호를 외쳐 5·18민주화운동 희화화 논란을 일으켰다. 배재고 야구부는 이번 사태로..."
2026-07-03,스타벅스,기타 이슈,"""배재고 야구부만의 문제 아니다""…10대 혐오 문화 본질은",news.jtbc.co.kr,https://news.jtbc.co.kr/article/NB12306446?influxDiv=NAVER,"[김민전/국민의힘 원내부대표 : 특히 '스타벅스 가자'고 하는 말이 언제부터 혐오의 언어였는지 묻지 않을 수... ""스타벅스 가야지"" ""탱크데이"" 구호로 5·18 조롱 논란을 빚었던 배재고 야구부. 전국대회 6개월 전체 출전금지..."
2026-07-03,스타벅스,기타 이슈,"국힘, 스레드 가입 열풍…보수 청년 따라 ‘우향우’",sedaily.com,https://www.sedaily.com/article/20063649?ref=naver,용어를 사용하는 모습을 찾아볼 수 있다. 지난 지방선거 기간에도 스타벅스가 5·18민주화운동 희화화 논란을 빚은 사이 국민의힘 충북도당이 “내일 스타벅스에 가겠다”는 글을 올려 비판을 받은 바 있다.
2026-07-03,스타벅스,기타 이슈,"배재고 학부모 손배 소송 나선다···""5·18 교훈 없고 집단 처벌만""",womaneconomy.co.kr,https://www.womaneconomy.co.kr/news/articleView.html?idxno=255718,"대한야구소프트볼협회(KBSA, 회장 양해영)가 '스타벅스 밈' 논란을 이유로 배재고 선수단 36명 전체에 6개월 출전 정지를 내렸다. 광주일고 전에서 스타벅스를 선창한 1명과 의미를 모른 채 응원 리듬에 따라붙은 학생들까지..."
2026-07-03,스타벅스,혜택/프로모션/이벤트,'선처부탁드립니다' 배재고 8만 동문 탄원서 제출→배재고 야구부·학부...,sportalkorea.com,https://www.sportalkorea.com/news/articleView.html?idxno=2025052909553348049,"가야지, 스타벅스 가야지""라는 구호를 반복해서 외쳤다. 해당 구호는 지난달 불거진 스타벅스 코리아의 이른바 '5·18 탱크데이' 이벤트 논란을 연상시키는 조롱성 발언으로 해석되며 지역 비하 논란을 낳았다. 이에..."
2026-07-03,스타벅스,기타 이슈,"배재고 야구부, 6일 광주일고 방문해 사과",sedaily.com,https://www.sedaily.com/article/20063642?ref=naver,"경기 중 ‘스타벅스 가야지’라는 응원 구호를 외쳐 파문을 일으킨 서울 배재고 야구부 학생들이 6일... 가야지, 스타벅스 가야지”라는 구호를 외쳤다. 이 중 한 학생은 “탱크 데이”라고 크게 소리치기도 했다. 최근..."
2026-07-03,스타벅스,혜택/프로모션/이벤트,"‘진영 대결’ 번진 배재고 징계…보수단체, 야구협회 줄고발",mk.co.kr,https://www.mk.co.kr/article/12090137,향해 “스타벅스 가야지”라는 구호를 외쳤다. “탱크데이”를 외친 학생들도 있었다. 해당 구호는 스타벅스코리아가 5·18 기념일 당시 텀블러 할인 행사를 홍보하며 사용한 ‘탱크데이’ 문구를 떠올리게 한다는 비판을...
2026-07-03,스타벅스,기타 이슈,"'스벅 가야지' 배재고, 광주일고 사과 방문에 경찰력 배치 검토",news1.kr,https://www.news1.kr/local/gwangju-jeonnam/6217496,가야지 스타벅스 가야지'라는 비하성 응원을 해 국민적 공분을 샀다. 응원 중간에는 '탱크데이'라고 외치는 장면도 중계화면에 그대로 노출됐다. '스타벅스'는 5월 18일 제46주년 5·18민주화운동 기념일에 진행된...
2026-07-03,스타벅스,기타 이슈,"배재고, 6일 광주일고 사과 방문하고 5·18민주 묘지 참배한다 : ""사과는...",huffingtonpost.kr,https://www.huffingtonpost.kr/article/258457,"“스타벅스 가야지” 응원 구호 논란으로 파장이 이어지고 있는 배재고 야구부가 오는 6일 월요일... 6월29일 서울 목동야구장에서 열린 청룡기 전국고교야구선수권대회 경기 도중, 배재고 더그아웃에서 “스타벅스..."
2026-07-03,스타벅스,기타 이슈,"“아아만 마셔요, 벤티컵에 얼음을 넣으면 맛이 연해져요…” 이정후 커...",mydaily.co.kr,https://www.mydaily.co.kr/page/view/2026070302510733045,"스타벅스에 가면 아이스 말차라떼를 마신다”라고 했다. 로건 웹은 “나는 그냥 가장 큰 콜드브루, 블랙이다.... 스타벅스에 가면 녹차에 많은 돈을 쓴다”라고 했다. 운동선수는 수면이 중요하다. 카페인을 과다 섭취하면..."
2026-07-03,스타벅스,혜택/프로모션/이벤트,"아이소이 '625% 침투' 광고 뭇매… ""역사적 상처 상업적으로 소비""",ilyoseoul.co.kr,https://www.ilyoseoul.co.kr/news/articleView.html?idxno=519387,앞서 스타벅스코리아도 텀블러 프로모션 과정에서 '탱크데이'와 '책상에 탁!'이라는 문구를 사용해 5·18 민주화운동과 박종철 열사 고문치사 사건을 연상시킨다는 비판을 받은 바 있다. 이런 가운데 아이소이 논란까지...
2026-07-03,스타벅스,굿즈/MD,"한정수 ""배재고 사건의 진범, 잘못된 역사의식 퍼뜨리는 일베 제거해야...",stoo.com,http://www.stoo.com/article.php?aid=107537371978,"배재고와 광주제일고 경기 중 발생했다. 배재고 선수 일부가 상대 팀을 향해 ""스타벅스 가야지"" ""탱크데이"" 등 조롱성 구호를 외치면서 민주화운동 정신을 훼손하고 특정 지역을 비하했다는 공분을 샀다."
2026-07-03,스타벅스,기타 이슈,"배재고 야구부, 광주일고 찾아 사과한다",mk.co.kr,https://www.mk.co.kr/article/12090110,"6일 5·18 민주묘지도 참배 광주일고 ""새롭게 출발하길"" 경기 중에 '스타벅스 가야지'라는 응원 구호를 외쳐 파문을 일으킨 서울 배재고 야구부 학생들이 오는 6일 광주제일고(광주일고)를 방문해 사과하기로 했다...."
2026-07-03,스타벅스,기타 이슈,"배재고 사과 받아들인 광주일고, 5·18묘지 같이 간다",hankyung.com,https://www.hankyung.com/article/2026070349431,지난달 경기 중 ‘스타벅스 가야지’ 등의 구호를 외쳐 논란을 빚은 데 따른 후속 조치다. 학교 방문 뒤에는... 향해 ‘스타벅스 가야지’ ‘탱크데이’ 등의 구호를 외쳐 5·18민주화운동을 희화화했다는 비판을 받았다....
2026-07-03,스타벅스,기타 이슈,"[이승욱의 포인트] '1980년 5월' 조롱한 아이들, 공동체 망가뜨린 기업인",pointe.co.kr,https://www.pointe.co.kr/news/articleView.html?idxno=81379,"""가야지, 가야지, 스타벅스 가야지…. 탱크데이."" 참 아픈 말이다. 그 전에 미리 말한다. 필자는 소위 '대구... 최근 스타벅스를 둘러싼 '탱크데이' 논란 역시 많은 국민들에게 단순한 마케팅이 아니라 역사적 감수성의..."
2026-07-03,스타벅스,기타 이슈,"'전국대회 6개월 출전 정지 징계' 배재고 야구부 전원, 6일 광주일고 방...",thesportstimes.co.kr,http://www.thesportstimes.co.kr/news/articleView.html?idxno=373976,"청룡기 고고야구 대회 경기 중 '스타벅스 가야지'라는 응원 구호를 외쳐 파문을 일으킨 서울 배재고 야구부... 가야지, 스타벅스 가야지"", ""탱크 데이""라고 외친 사실이 보도되며 시작됐다. 최근 스타벅스 코리아가 5..."
2026-07-03,스타벅스,기타 이슈,"""정용진 결자해지"" 피켓도 등장... 총동창회 '6개월 징계' 선처 호소",ohmynews.com,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003248530&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,"일부 동문은 ""원인 제공자 정용진 결자해지(結者解之)하라""는 문구가 담긴 손팻말을 들어 스타벅스코리아의... 이번 사태는 지난달 29일 광주일고(광주제일고등학교)와의 경기에서 배재고 선수들이 ""스타벅스 가야지..."
2026-07-03,스타벅스,기타 이슈,스타벅스 결제 추정액 한 달 새 200억 원 넘게 감소,yonhapnewstv.co.kr,http://www.yonhapnewstv.co.kr/news/AKR202607031739392ZO,"스타벅스의 지난달 신용·체크카드 추정 결제금액이 전달보다 200억 원 넘게 감소하고, 스타벅스 애플리케이션의 월간 사용자 수도 한 달 새 113만 명 남짓 줄어든 것으로 나타났습니다. 오늘(3일) AI 데이터 테크..."
2026-07-03,스타벅스,기타 이슈,"시민단체, KBSA 스포츠공정위원회 고발…""배재고 야구부 징계는 권한 남...",fntoday.co.kr,https://www.fntoday.co.kr/news/articleView.html?idxno=387552,고발장에 따르면 KBSA 스포츠공정위원회는 지난 1일 긴급 회의를 열어 청룡기 전국고교야구선수권대회 중 발생한 배재고 야구부의 응원 구호 '스타벅스 가야지' 논란을 심의한 뒤 해당 팀에 중징계를 의결했다. 그러나...
2026-07-03,스타벅스,기타 이슈,"배재고 야구부, 5·18 비하 발언 끝내 사과... 학생·학부모 광주 방문해...",insight.co.kr,https://www.insight.co.kr/news/561477,"배재고는 '스타벅스 가야지', '탱크데이' 등의 응원 구호를 주도한 학생 2명을 생활교육위원회에 회부했다.... 배재고 야구부 선수들은 상대 팀인 광주제일고를 향해 ""가야지, 가야지, 스타벅스 가야지""라는 구호를..."
2026-07-03,스타벅스,기타 이슈,"""해코지 당할라"" 배재고 '지역 비하 논란'에 한시적 사복 허용",view.asiae.co.kr,https://view.asiae.co.kr/article/2026070317320505350,"앞서 배재고 야구부는 지난달 29일 서울 목동구장에서 열린 제81회 청룡기 전국고교야구선수권대회 겸 주말리그 왕중왕전 중 2학년 학생 A군이 상대 팀인 광주제일고를 향해 ""가야지, 가야지, 스타벅스 가야지""라는 구호를..."
2026-07-03,스타벅스,기타 이슈,"배재고, 교복 대신 사복 등교…근조화환까지 등장",hankyung.com,https://www.hankyung.com/article/202607034652H,서울시교육청 조사에서는 지난달 29일 서울 목동구장에서 열린 청룡기 전국고교야구선수권대회 배재고와 광주제일고 경기 당시 배재고 2학년 학생이 “스타벅스 가야지”를 먼저 외치고 주변 학생들이 이에 호응한 것으로...
2026-07-03,스타벅스,기타 이슈,"허지웅, 배재고 5.18 조롱 논란 속 “차라리 광주를 내버려두라” 작심...",newsen.com,https://www.newsen.com/news_view.php?uid=202607031730532510,"스타벅스 가야지”, “탱크데이” 등을 외쳐 논란을 빚었다. 이와 관련해 허지웅은 지난 1일에도 “광주는 늘 깍두기였다. 멸칭과 모욕은 일상이었다. 역사를 모르는 아이들은 밈으로 소비한다. 말리면 억압이라 여긴다...."
2026-07-03,스타벅스,기타 이슈,"[채널Who] 배재고 야구부 출전정지 징계, 국민의힘은 과도하다며 정치 ...",businesspost.co.kr,https://www.businesspost.co.kr/BP?command=article_view&num=441559,"나아가 국민의힘 일각에서는 ""스타벅스 가자는 것은 표현의 자유""라거나, ""학생들을 징계하면 대한민국은 공산주의 국가""라는 극단적인 주장까지 펼쳤다. 여당 인사들은 징계의 부당함을 주장하는 과정에서 '이재명 정권..."
2026-07-03,스타벅스,기타 이슈,"'스타벅스 가야지+탱크데이 조롱 논란' 배재고 야구부 36명 전원, 6일 광...",xportsnews.com,https://www.xportsnews.com/article/2167785,"당시 경기 도중 배재고 선수들이 더그아웃에서 광주제일고 선수들을 향해 ""가야지, 가야지, 스타벅스 가야지""라는 구호를 외쳤고 이어 ""탱크데이""라는 구호까지 터져 나왔다. 이는 스타벅스 코리아가 5·18 민주화운동..."
2026-07-03,스타벅스,기타 이슈,배재고 '5·18 조롱' 후폭풍…학교 밖으로 번진 이념 갈등,ntoday.co.kr,https://www.ntoday.co.kr/news/articleView.html?idxno=127994,"당시 배재고 일부 야구부 선수들이 광주제일고를 향해 ""가야지 가야지 스타벅스 가야지""라는 구호를 외치면서 논란이 불거졌다. 해당 구호는 최근 스타벅스코리아의 이른바 '탱크데이' 논란을 연상시키며 5·18..."
2026-07-03,스타벅스,기타 이슈,'탱크데이' 여진 지속⋯스타벅스 6월 결제액 208억 증발,inews24.com,http://www.inews24.com/view/1982374,스타벅스의 지난달 신용·체크카드 추정 결제금액이 전달보다 200억원 넘게 감소한 것으로 나타났다. 3일 관련 업계와 AI 데이터 테크 기업 아이지에이웍스의 모바일인덱스에 따르면 스타벅스의 6월 신용·체크카드...
2026-07-03,스타벅스,기타 이슈,"""학교 현장 어른이 없어 씁쓸...정치권 사람들이 진짜 반성해야""[박영환...",ikbc.co.kr,https://www.ikbc.co.kr/article/view/kbc202607030057,"이어 ""스타벅스 탱크데이 이것이 과연 그 의도가 5·18을 상징했는지 그 누구도 지금 규명하지 못했고 그것에 대해서 어른들은 그 누구도 처벌받지 않은 채 정치권에서만 공방을 하고 있는데 미성년자 아이들이 더 큰 책임을..."
